time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.476,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.476206,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.476209,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.476211,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.47633,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.477157,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.47716,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477162,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477203,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.477323,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.477568,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477571,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477573,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477707,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.477709,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477712,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477713,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477715,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477717,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477772,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477867,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.47787,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477935,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477937,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.477948,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.478044,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.481191,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.481194,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.481196,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.481198,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.4814,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.481402,75,192.168.0.104,74.125.4.9,54103,443,UDP,64
